,A,P,C,LK,WK,AC,L,Ui0,Ui1,Ui2,Cluster Sandard,Cluster Test,Cluster FCM
0,15.26,14.84,0.871,5.763,3.312,2.221,5.22,0.03848043039956726,0.9152541416518067,0.046265427948625974,1,2.0,1
1,14.88,14.57,0.8811,5.553999999999999,3.333,1.018,4.956,0.09652299386371474,0.8118595389130239,0.09161746722326132,1,2.0,1
2,14.29,14.09,0.905,5.291,3.3369999999999997,2.699,4.825,0.036795264114491646,0.9490725963583255,0.014132139527182947,1,2.0,1
3,13.84,13.94,0.8955,5.324,3.3789999999999996,2.259,4.805,0.09905802766198037,0.8697841768538288,0.03115779548419095,1,2.0,1
4,16.14,14.99,0.9034,5.6579999999999995,3.562,1.355,5.175,0.09472971823727987,0.686026575720351,0.2192437060423692,1,2.0,1
5,14.38,14.21,0.8951,5.386,3.312,2.4619999999999997,4.956,0.018006742682651924,0.9736440296573154,0.008349227660032679,1,2.0,1
6,14.69,14.49,0.8799,5.563,3.259,3.5860000000000003,5.218999999999999,0.0688666253432266,0.8959519987907258,0.0351813758660475,1,2.0,1
7,14.11,14.1,0.8911,5.42,3.302,2.7,5.0,0.03884741658257285,0.9479236801995443,0.013228903217882802,1,2.0,1
8,16.63,15.46,0.8747,6.053,3.465,2.04,5.877000000000001,0.0870053042113991,0.49162556125349527,0.42136913453510566,1,2.0,1
9,16.44,15.25,0.888,5.8839999999999995,3.505,1.969,5.5329999999999995,0.0875732061263006,0.5971371251405463,0.31528966873315306,1,2.0,1
10,15.26,14.85,0.8696,5.7139999999999995,3.242,4.543,5.314,0.18830620341518278,0.6493005958736827,0.16239320071113453,1,2.0,1
11,14.03,14.16,0.8796,5.438,3.201,1.7169999999999999,5.001,0.08388570794748111,0.8781711941625859,0.037943097889933095,1,2.0,1
12,13.89,14.02,0.888,5.439,3.199,3.986,4.738,0.31054068429991405,0.637414563143394,0.052044752556691914,1,2.0,1
13,13.78,14.06,0.8759,5.479,3.156,3.136,4.872,0.1379671511163955,0.8326941421221992,0.029338706761405372,1,2.0,1
